Date,Investment,Adj Close,Units Purchased
2014-10-07,30000.0,26271.970703125,1.1419013951789905
2014-10-08,0.0,26246.7890625,0.0
2014-10-09,0.0,26637.279296875,0.0
2014-10-10,0.0,26297.380859375,0.0
2014-10-11,0.0,26384.0703125,0.0
2014-10-12,0.0,26384.0703125,0.0
2014-10-13,0.0,26384.0703125,0.0
2014-10-14,0.0,26349.330078125,0.0
2014-10-15,0.0,25999.33984375,0.0
2014-10-16,0.0,25999.33984375,0.0
2014-10-17,0.0,26108.529296875,0.0
2014-10-18,0.0,26429.849609375,0.0
2014-10-19,0.0,26429.849609375,0.0
2014-10-20,0.0,26429.849609375,0.0
2014-10-21,0.0,26575.650390625,0.0
2014-10-22,0.0,26787.23046875,0.0
2014-10-23,0.0,26752.900390625,0.0
2014-10-24,0.0,26752.900390625,0.0
2014-10-25,0.0,26752.900390625,0.0
2014-10-26,0.0,26752.900390625,0.0
2014-10-27,0.0,26752.900390625,0.0
2014-10-28,0.0,26880.8203125,0.0
2014-10-29,0.0,27098.169921875,0.0
2014-10-30,0.0,27346.330078125,0.0
2014-10-31,0.0,27865.830078125,0.0
2014-11-01,0.0,27860.380859375,0.0
2014-11-02,0.0,27860.380859375,0.0
2014-11-03,0.0,27860.380859375,0.0
2014-11-04,0.0,27915.880859375,0.0
2014-11-05,30000.0,27915.880859375,1.0746571154649809
2014-11-06,0.0,27868.630859375,0.0
2014-11-07,0.0,27868.630859375,0.0
2014-11-08,0.0,27874.73046875,0.0
2014-11-09,0.0,27874.73046875,0.0
2014-11-10,0.0,27874.73046875,0.0
2014-11-11,0.0,27910.060546875,0.0
2014-11-12,0.0,28008.900390625,0.0
2014-11-13,0.0,27940.640625,0.0
2014-11-14,0.0,28046.66015625,0.0
2014-11-15,0.0,28177.880859375,0.0
2014-11-16,0.0,28177.880859375,0.0
2014-11-17,0.0,28177.880859375,0.0
2014-11-18,0.0,28163.2890625,0.0
2014-11-19,0.0,28032.849609375,0.0
2014-11-20,0.0,28067.560546875,0.0
2014-11-21,0.0,28334.630859375,0.0
2014-11-22,0.0,28499.5390625,0.0
2014-11-23,0.0,28499.5390625,0.0
2014-11-24,0.0,28499.5390625,0.0
2014-11-25,0.0,28338.05078125,0.0
2014-11-26,0.0,28386.189453125,0.0
2014-11-27,0.0,28438.91015625,0.0
2014-11-28,0.0,28693.990234375,0.0
2014-11-29,0.0,28559.619140625,0.0
2014-11-30,0.0,28559.619140625,0.0
2014-12-01,0.0,28559.619140625,0.0
2014-12-02,0.0,28444.009765625,0.0
2014-12-03,0.0,28442.7109375,0.0
2014-12-04,30000.0,28562.8203125,1.0503164488582049
2014-12-05,0.0,28458.099609375,0.0
2014-12-06,0.0,28119.400390625,0.0
2014-12-07,0.0,28119.400390625,0.0
2014-12-08,0.0,28119.400390625,0.0
2014-12-09,0.0,27797.009765625,0.0
2014-12-10,0.0,27831.099609375,0.0
2014-12-11,0.0,27602.009765625,0.0
2014-12-12,0.0,27350.6796875,0.0
2014-12-13,0.0,27319.560546875,0.0
2014-12-14,0.0,27319.560546875,0.0
2014-12-15,0.0,27319.560546875,0.0
2014-12-16,0.0,26781.439453125,0.0
2014-12-17,0.0,26710.130859375,0.0
2014-12-18,0.0,27126.5703125,0.0
2014-12-19,0.0,27371.83984375,0.0
2014-12-20,0.0,27701.7890625,0.0
2014-12-21,0.0,27701.7890625,0.0
2014-12-22,0.0,27701.7890625,0.0
2014-12-23,0.0,27506.4609375,0.0
2014-12-24,0.0,27208.609375,0.0
2014-12-25,0.0,27403.5390625,0.0
2014-12-26,0.0,27403.5390625,0.0
