Date,Investment,Adj Close,Units Purchased,Cumulative Units Purchased,Total Invested,Acquired Value
2014-10-07,30000.0,26271.970703125,1.1419013951789905,1.1419013951789905,30000.0,30000.0
2014-10-08,0.0,26246.7890625,0.0,1.1419013951789905,30000.0,29971.245049437417
2014-10-09,0.0,26637.279296875,0.0,1.1419013951789905,30000.0,30417.146392874
2014-10-10,0.0,26297.380859375,0.0,1.1419013951789905,30000.0,30029.01589287359
2014-10-11,0.0,26384.0703125,0.0,1.1419013951789905,30000.0,30128.006700344333
2014-10-12,0.0,26384.0703125,0.0,1.1419013951789905,30000.0,30128.006700344333
2014-10-13,0.0,26384.0703125,0.0,1.1419013951789905,30000.0,30128.006700344333
2014-10-14,0.0,26349.330078125,0.0,1.1419013951789905,30000.0,30088.336778242676
2014-10-15,0.0,25999.33984375,0.0,1.1419013951789905,30000.0,29688.68244131084
2014-10-16,0.0,25999.33984375,0.0,1.1419013951789905,30000.0,29688.68244131084
2014-10-17,0.0,26108.529296875,0.0,1.1419013951789905,30000.0,29813.36603017311
2014-10-18,0.0,26429.849609375,0.0,1.1419013951789905,30000.0,30180.28214331621
2014-10-19,0.0,26429.849609375,0.0,1.1419013951789905,30000.0,30180.28214331621
2014-10-20,0.0,26429.849609375,0.0,1.1419013951789905,30000.0,30180.28214331621
2014-10-21,0.0,26575.650390625,0.0,1.1419013951789905,30000.0,30346.772258843772
2014-10-22,0.0,26787.23046875,0.0,1.1419013951789905,30000.0,30588.37584524679
2014-10-23,0.0,26752.900390625,0.0,1.1419013951789905,30000.0,30549.174281139247
2014-10-24,0.0,26752.900390625,0.0,1.1419013951789905,30000.0,30549.174281139247
2014-10-25,0.0,26752.900390625,0.0,1.1419013951789905,30000.0,30549.174281139247
2014-10-26,0.0,26752.900390625,0.0,1.1419013951789905,30000.0,30549.174281139247
2014-10-27,0.0,26752.900390625,0.0,1.1419013951789905,30000.0,30549.174281139247
2014-10-28,0.0,26880.8203125,0.0,1.1419013951789905,30000.0,30695.246218399498
2014-10-29,0.0,27098.169921875,0.0,1.1419013951789905,30000.0,30943.438040586418
2014-10-30,0.0,27346.330078125,0.0,1.1419013951789905,30000.0,31226.81246923613
2014-10-31,0.0,27865.830078125,0.0,1.1419013951789905,30000.0,31820.030244031615
2014-11-01,0.0,27860.380859375,0.0,1.1419013951789905,30000.0,31813.807773538356
2014-11-02,0.0,27860.380859375,0.0,1.1419013951789905,30000.0,31813.807773538356
2014-11-03,0.0,27860.380859375,0.0,1.1419013951789905,30000.0,31813.807773538356
2014-11-04,0.0,27915.880859375,0.0,1.1419013951789905,30000.0,31877.183300970788
2014-11-05,0.0,27915.880859375,0.0,1.1419013951789905,30000.0,31877.183300970788
2014-11-06,0.0,27868.630859375,0.0,1.1419013951789905,30000.0,31823.22846004858
2014-11-07,30000.0,27868.630859375,1.076479147877048,2.218380543056038,60000.0,61823.22846004857
2014-11-08,0.0,27874.73046875,0.0,2.218380543056038,60000.0,61836.75971480632
2014-11-09,0.0,27874.73046875,0.0,2.218380543056038,60000.0,61836.75971480632
2014-11-10,0.0,27874.73046875,0.0,2.218380543056038,60000.0,61836.75971480632
2014-11-11,0.0,27910.060546875,0.0,2.218380543056038,60000.0,61915.13527270347
2014-11-12,0.0,28008.900390625,0.0,2.218380543056038,60000.0,62134.39965895717
2014-11-13,0.0,27940.640625,0.0,2.218380543056038,60000.0,61982.9735230211
2014-11-14,0.0,28046.66015625,0.0,2.218380543056038,60000.0,62218.16518833002
2014-11-15,0.0,28177.880859375,0.0,2.218380543056038,60000.0,62509.26264298866
2014-11-16,0.0,28177.880859375,0.0,2.218380543056038,60000.0,62509.26264298866
2014-11-17,0.0,28177.880859375,0.0,2.218380543056038,60000.0,62509.26264298866
2014-11-18,0.0,28163.2890625,0.0,2.218380543056038,60000.0,62476.89248471293
2014-11-19,0.0,28032.849609375,0.0,2.218380543056038,60000.0,62187.52813985356
2014-11-20,0.0,28067.560546875,0.0,2.218380543056038,60000.0,62264.53020823479
2014-11-21,0.0,28334.630859375,0.0,2.218380543056038,60000.0,62856.99379311269
2014-11-22,0.0,28499.5390625,0.0,2.218380543056038,60000.0,63222.82294231552
2014-11-23,0.0,28499.5390625,0.0,2.218380543056038,60000.0,63222.82294231552
2014-11-24,0.0,28499.5390625,0.0,2.218380543056038,60000.0,63222.82294231552
2014-11-25,0.0,28338.05078125,0.0,2.218380543056038,60000.0,62864.58048125896
2014-11-26,0.0,28386.189453125,0.0,2.218380543056038,60000.0,62971.37037431502
2014-11-27,0.0,28438.91015625,0.0,2.218380543056038,60000.0,63088.32495634376
2014-11-28,0.0,28693.990234375,0.0,2.218380543056038,60000.0,63654.18963857747
2014-11-29,0.0,28559.619140625,0.0,2.218380543056038,60000.0,63356.10341865331
2014-11-30,0.0,28559.619140625,0.0,2.218380543056038,60000.0,63356.10341865331
2014-12-01,0.0,28559.619140625,0.0,2.218380543056038,60000.0,63356.10341865331
2014-12-02,0.0,28444.009765625,0.0,2.218380543056038,60000.0,63099.63783055844
2014-12-03,0.0,28442.7109375,0.0,2.218380543056038,60000.0,63096.75653551717
2014-12-04,0.0,28562.8203125,0.0,2.218380543056038,60000.0,63363.20483605579
2014-12-05,0.0,28458.099609375,0.0,2.218380543056038,60000.0,63130.89446578814
2014-12-06,0.0,28119.400390625,0.0,2.218380543056038,60000.0,62379.530708964856
2014-12-07,0.0,28119.400390625,0.0,2.218380543056038,60000.0,62379.530708964856
2014-12-08,30000.0,28119.400390625,1.0668790793278078,3.2852596223838457,90000.0,92379.53070896486
2014-12-09,0.0,27797.009765625,0.0,3.2852596223838457,90000.0,91320.39380601727
2014-12-10,0.0,27831.099609375,0.0,3.2852596223838457,90000.0,91432.38779322252
2014-12-11,0.0,27602.009765625,0.0,3.2852596223838457,90000.0,90679.76817965241
2014-12-12,0.0,27350.6796875,0.0,3.2852596223838457,90000.0,89854.08362209777
2014-12-13,0.0,27319.560546875,0.0,3.2852596223838457,90000.0,89751.84916591918
2014-12-14,0.0,27319.560546875,0.0,3.2852596223838457,90000.0,89751.84916591918
2014-12-15,0.0,27319.560546875,0.0,3.2852596223838457,90000.0,89751.84916591918
2014-12-16,0.0,26781.439453125,0.0,3.2852596223838457,90000.0,87983.98166466926
2014-12-17,0.0,26710.130859375,0.0,3.2852596223838457,90000.0,87749.71442089342
2014-12-18,0.0,27126.5703125,0.0,3.2852596223838457,90000.0,89117.82614141259
2014-12-19,0.0,27371.83984375,0.0,3.2852596223838457,90000.0,89923.60022902922
2014-12-20,0.0,27701.7890625,0.0,3.2852596223838457,90000.0,91007.5690748257
2014-12-21,0.0,27701.7890625,0.0,3.2852596223838457,90000.0,91007.5690748257
2014-12-22,0.0,27701.7890625,0.0,3.2852596223838457,90000.0,91007.5690748257
2014-12-23,0.0,27506.4609375,0.0,3.2852596223838457,90000.0,90365.86547264726
2014-12-24,0.0,27208.609375,0.0,3.2852596223838457,90000.0,89387.34576090207
2014-12-25,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-26,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-27,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-28,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-29,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-30,0.0,27403.5390625,0.0,3.2852596223838457,90000.0,90027.74039244972
2014-12-31,0.0,27499.419921875,0.0,3.2852596223838457,90000.0,90342.73390831386
2015-01-01,0.0,27887.900390625,0.0,3.2852596223838457,90000.0,91618.99310638299
2015-01-02,0.0,27887.900390625,0.0,3.2852596223838457,90000.0,91618.99310638299
2015-01-03,0.0,27842.3203125,0.0,3.2852596223838457,90000.0,91469.25071613383
2015-01-04,0.0,27842.3203125,0.0,3.2852596223838457,90000.0,91469.25071613383
2015-01-05,0.0,27842.3203125,0.0,3.2852596223838457,90000.0,91469.25071613383
2015-01-06,0.0,26987.4609375,0.0,3.2852596223838457,90000.0,88660.81572863004
2015-01-07,30000.0,26908.8203125,1.1148760760078378,4.400135698391684,120000.0,118402.46085863851
2015-01-08,0.0,27274.7109375,0.0,4.400135698391684,120000.0,120012.42925940786
2015-01-09,0.0,27458.380859375,0.0,4.400135698391684,120000.0,120820.60183937085
2015-01-10,0.0,27585.26953125,0.0,4.400135698391684,120000.0,121378.92921420955
2015-01-11,0.0,27585.26953125,0.0,4.400135698391684,120000.0,121378.92921420955
2015-01-12,0.0,27585.26953125,0.0,4.400135698391684,120000.0,121378.92921420955
2015-01-13,0.0,27425.73046875,0.0,4.400135698391684,120000.0,120676.93569001537
2015-01-14,0.0,27346.8203125,0.0,4.400135698391684,120000.0,120329.72029453407
2015-01-15,0.0,28075.55078125,0.0,4.400135698391684,120000.0,123536.23324458665
2015-01-16,0.0,28121.890625,0.0,4.400135698391684,120000.0,123740.13484532892
2015-01-17,0.0,28262.009765625,0.0,4.400135698391684,120000.0,124356.67807802095
2015-01-18,0.0,28262.009765625,0.0,4.400135698391684,120000.0,124356.67807802095
2015-01-19,0.0,28262.009765625,0.0,4.400135698391684,120000.0,124356.67807802095
2015-01-20,0.0,28784.669921875,0.0,4.400135698391684,120000.0,126656.45368966354
2015-01-21,0.0,28888.859375,0.0,4.400135698391684,120000.0,127114.90142175477
2015-01-22,0.0,29006.01953125,0.0,4.400135698391684,120000.0,127630.42200769954
2015-01-23,0.0,29278.83984375,0.0,4.400135698391684,120000.0,128830.86840397716
2015-01-24,0.0,29571.0390625,0.0,4.400135698391684,120000.0,130116.5846174412
2015-01-25,0.0,29571.0390625,0.0,4.400135698391684,120000.0,130116.5846174412
2015-01-26,0.0,29571.0390625,0.0,4.400135698391684,120000.0,130116.5846174412
2015-01-27,0.0,29571.0390625,0.0,4.400135698391684,120000.0,130116.5846174412
2015-01-28,0.0,29559.1796875,0.0,4.400135698391684,120000.0,130064.40175814308
2015-01-29,0.0,29681.76953125,0.0,4.400135698391684,120000.0,130603.81370588772
2015-01-30,0.0,29182.94921875,0.0,4.400135698391684,120000.0,128408.93664177357
2015-01-31,0.0,29122.26953125,0.0,4.400135698391684,120000.0,128141.93778263757
2015-02-01,0.0,29122.26953125,0.0,4.400135698391684,120000.0,128141.93778263757
2015-02-02,0.0,29122.26953125,0.0,4.400135698391684,120000.0,128141.93778263757
2015-02-03,0.0,29000.140625,0.0,4.400135698391684,120000.0,127604.55402244141
2015-02-04,0.0,28883.109375,0.0,4.400135698391684,120000.0,127089.60064148901
2015-02-05,0.0,28850.970703125,0.0,4.400135698391684,120000.0,126948.18612407293
2015-02-06,0.0,28717.91015625,0.0,4.400135698391684,120000.0,126362.70166172073
2015-02-07,0.0,28227.390625,0.0,4.400135698391684,120000.0,124204.34916150924
2015-02-08,0.0,28227.390625,0.0,4.400135698391684,120000.0,124204.34916150924
2015-02-09,30000.0,28227.390625,1.0627974933478288,5.462933191739513,150000.0,154204.34916150925
2015-02-10,0.0,28355.619140625,0.0,5.462933191739513,150000.0,154904.85297564455
2015-02-11,0.0,28533.970703125,0.0,5.462933191739513,150000.0,155879.1756462244
2015-02-12,0.0,28805.099609375,0.0,5.462933191739513,150000.0,157360.33474741757
2015-02-13,0.0,29094.9296875,0.0,5.462933191739513,150000.0,158943.6571011711
2015-02-14,0.0,29135.880859375,0.0,5.462933191739513,150000.0,159167.37061724765
2015-02-15,0.0,29135.880859375,0.0,5.462933191739513,150000.0,159167.37061724765
2015-02-16,0.0,29135.880859375,0.0,5.462933191739513,150000.0,159167.37061724765
