Date,Investment,Adj Close,Units Purchased
2014-10-20,30000,26429.849609375,1.1350802385708099
2014-11-19,30000,28032.849609375,1.0701730440549693
2014-12-19,30000,27371.83984375,1.096016934603324
2015-01-19,30000,28262.009765625,1.0614956349101865
2015-02-19,30000,29462.26953125,1.0182514951259827
2015-03-19,30000,28469.669921875,1.0537529968673487
2015-04-20,30000,27886.2109375,1.0758005118457123
2015-05-19,30000,27645.529296875,1.085166417970921
2015-06-19,30000,27316.169921875,1.0982505997656637
2015-07-20,30000,28420.119140625,1.0555902264715227
2015-08-19,30000,27931.640625,1.0740507656807217
2015-09-21,30000,26192.98046875,1.1453450299706074
2015-10-19,30000,27364.919921875,1.0962940905965732
2015-11-19,30000,25841.919921875,1.16090445642954
2015-12-21,30000,25735.900390625,1.1656868244224443
2016-01-19,30000,24479.83984375,1.2254982136927404
2016-02-19,30000,23709.150390625,1.265334248833417
2016-03-21,30000,25285.369140625,1.1864568728719957
2016-04-20,30000,25844.1796875,1.1608029491649927
2016-05-19,30000,25399.720703125,1.181115349678196
2016-06-20,30000,26866.919921875,1.1166147845467784
2016-07-19,30000,27787.619140625,1.0796175033268878
2016-08-19,30000,28077.0,1.0684902233144566
2016-09-19,30000,28634.5,1.0476872304388063
2016-10-19,30000,27984.369140625,1.0720270251312867
2016-11-21,30000,25765.140625,1.164363914664254
2016-12-19,30000,26374.69921875,1.1374537298485188
2017-01-19,30000,27308.599609375,1.098555049659194
2017-02-20,30000,28661.580078125,1.046697352980079
2017-03-20,30000,29518.740234375,1.016303533342001
2017-04-19,30000,29336.5703125,1.0226144256275698
2017-05-19,30000,30464.919921875,0.9847391713791714
2017-06-19,30000,31311.5703125,0.9581122792817451
2017-07-19,30000,31955.349609375,0.9388099447110619
2017-08-21,30000,31258.849609375,0.9597282169655581
2017-09-19,30000,32402.369140625,0.9258582256686598
2017-10-19,30000,32389.9609375,0.926212910780853
2017-11-20,30000,33359.8984375,0.8992833133531628
2017-12-19,30000,33836.73828125,0.8866102799460415
2018-01-19,30000,35511.578125,0.8447948974388194
2018-02-19,30000,33774.66015625,0.8882398775061694
2018-03-19,30000,32923.12109375,0.9112137307569872
