Date,Investment
2014-10-27,30000
2014-11-26,30000
2014-12-30,30000
2015-01-27,30000
2015-02-26,30000
2015-03-26,30000
2015-04-27,30000
2015-05-26,30000
2015-06-26,30000
2015-07-27,30000
2015-08-26,30000
2015-09-28,30000
2015-10-26,30000
2015-11-26,30000
2015-12-28,30000
2016-01-27,30000
2016-02-26,30000
2016-03-28,30000
2016-04-26,30000
2016-05-26,30000
2016-06-27,30000
2016-07-26,30000
2016-08-26,30000
2016-09-26,30000
2016-10-26,30000
2016-11-28,30000
2016-12-26,30000
2017-01-27,30000
2017-02-27,30000
2017-03-27,30000
2017-04-26,30000
2017-05-26,30000
2017-06-27,30000
2017-07-26,30000
2017-08-28,30000
2017-09-26,30000
2017-10-26,30000
2017-11-27,30000
2017-12-26,30000
2018-01-29,30000
2018-02-26,30000
2018-03-26,30000
2018-04-26,30000
2018-05-28,30000
2018-06-26,30000
2018-07-26,30000
2018-08-27,30000
2018-09-26,30000
2018-10-26,30000
2018-11-26,30000
2018-12-26,30000
2019-01-28,30000
2019-02-26,30000
2019-03-26,30000
2019-04-26,30000
2019-05-27,30000
2019-06-26,30000
2019-07-26,30000
2019-08-26,30000
2019-09-26,30000
2019-10-29,30000
2019-11-26,30000
2019-12-26,30000
2020-01-27,30000
2020-02-26,30000
2020-03-26,30000
2020-04-27,30000
2020-05-26,30000
2020-06-26,30000
2020-07-27,30000
2020-08-26,30000
2020-09-28,30000
2020-10-26,30000
2020-11-26,30000
2020-12-28,30000
2021-01-27,30000
2021-02-26,30000
2021-03-26,30000
2021-04-26,30000
2021-05-26,30000
2021-06-28,30000
2021-07-26,30000
2021-08-26,30000
2021-09-27,30000
2021-10-26,30000
2021-11-26,30000
2021-12-27,30000
2022-01-27,30000
2022-02-28,30000
2022-03-28,30000
2022-04-26,30000
2022-05-26,30000
2022-06-27,30000
2022-07-26,30000
2022-08-26,30000
2022-09-26,30000
2022-10-27,30000
2022-11-28,30000
2022-12-26,30000
2023-01-27,30000
2023-02-27,30000
2023-03-27,30000
2023-04-26,30000
2023-05-26,30000
2023-06-26,30000
2023-07-26,30000
2023-08-28,30000
2023-09-26,30000
2023-10-26,30000
2023-11-28,30000
2023-12-26,30000
2024-01-29,30000
2024-02-26,30000
2024-03-26,30000
2024-04-26,30000
2024-05-27,30000
2024-06-26,30000
2024-07-26,30000
2024-08-26,30000
,30000
