Date,Open,High,Low,Close,Adj Close,Volume
2014-09-08,27145.119140625,27354.990234375,27144.560546875,27319.849609375,27319.849609375,7300
2014-09-09,27316.4296875,27328.26953125,27177.08984375,27265.3203125,27265.3203125,7600
2014-09-10,27230.939453125,27251.439453125,27018.109375,27057.41015625,27057.41015625,5900
2014-09-11,27143.220703125,27150.779296875,26904.5,26995.869140625,26995.869140625,7600
2014-09-12,27048.150390625,27096.869140625,26965.91015625,27061.0390625,27061.0390625,8000
2014-09-15,26998.0703125,26998.0703125,26790.91015625,26816.560546875,26816.560546875,6000
2014-09-16,26854.900390625,26861.2890625,26464.029296875,26492.509765625,26492.509765625,9400
2014-09-17,26627.2109375,26682.640625,26511.7109375,26631.2890625,26631.2890625,7600
2014-09-18,26573.890625,27132.19921875,26503.080078125,27112.2109375,27112.2109375,7000
2014-09-19,27139.390625,27247.169921875,27047.6796875,27090.419921875,27090.419921875,7300
2014-09-22,27008.119140625,27254.80078125,26918.9296875,27206.740234375,27206.740234375,7100
2014-09-23,27244.98046875,27256.869140625,26744.0703125,26775.689453125,26775.689453125,7900
2014-09-24,26817.939453125,26844.69921875,26560.0,26744.689453125,26744.689453125,12300
2014-09-25,26808.66015625,26814.19921875,26349.55078125,26468.359375,26468.359375,11000
2014-09-26,26429.30078125,26721.029296875,26220.490234375,26626.3203125,26626.3203125,10000
2014-09-29,26694.41015625,26715.76953125,26518.009765625,26597.109375,26597.109375,6500
2014-09-30,26610.7109375,26851.330078125,26481.310546875,26630.509765625,26630.509765625,8200
2014-10-01,26681.470703125,26683.69921875,26548.220703125,26567.990234375,26567.990234375,7900
2014-10-07,26487.509765625,26570.380859375,26250.240234375,26271.970703125,26271.970703125,10200
2014-10-08,26229.669921875,26338.310546875,26150.08984375,26246.7890625,26246.7890625,8600
2014-10-09,26394.369140625,26688.69921875,26394.2109375,26637.279296875,26637.279296875,7500
2014-10-10,26551.740234375,26555.919921875,26261.609375,26297.380859375,26297.380859375,9200
2014-10-13,26275.0703125,26443.16015625,26092.689453125,26384.0703125,26384.0703125,6400
2014-10-14,26537.419921875,26550.7890625,26212.009765625,26349.330078125,26349.330078125,11900
2014-10-16,26260.349609375,26462.080078125,25933.98046875,25999.33984375,25999.33984375,10700
2014-10-17,25950.0,26248.5390625,25910.76953125,26108.529296875,26108.529296875,9400
2014-10-20,26434.16015625,26517.900390625,26368.939453125,26429.849609375,26429.849609375,9300
2014-10-21,26552.44921875,26615.41015625,26407.0,26575.650390625,26575.650390625,8400
2014-10-22,26782.5703125,26818.330078125,26712.2109375,26787.23046875,26787.23046875,6000
2014-10-27,26959.5703125,26994.9609375,26726.83984375,26752.900390625,26752.900390625,6500
2014-10-28,26788.73046875,26907.140625,26764.150390625,26880.8203125,26880.8203125,6800
2014-10-29,27017.439453125,27126.30078125,26971.16015625,27098.169921875,27098.169921875,8100
2014-10-30,27098.939453125,27390.599609375,27088.650390625,27346.330078125,27346.330078125,7000
2014-10-31,27439.060546875,27894.3203125,27438.279296875,27865.830078125,27865.830078125,11600
2014-11-03,27943.0390625,27969.8203125,27785.400390625,27860.380859375,27860.380859375,9500
2014-11-05,27907.189453125,28010.390625,27857.650390625,27915.880859375,27915.880859375,8700
2014-11-07,27902.7109375,27980.9296875,27739.560546875,27868.630859375,27868.630859375,10500
2014-11-10,27919.44921875,28027.9609375,27764.75,27874.73046875,27874.73046875,7900
2014-11-11,27911.25,27996.919921875,27790.400390625,27910.060546875,27910.060546875,7000
2014-11-12,27958.640625,28126.48046875,27958.640625,28008.900390625,28008.900390625,7000
2014-11-13,28048.560546875,28098.740234375,27822.69921875,27940.640625,27940.640625,8700
2014-11-14,27949.5390625,28093.23046875,27912.900390625,28046.66015625,28046.66015625,9900
2014-11-17,28018.6796875,28205.7109375,27921.33984375,28177.880859375,28177.880859375,6700
2014-11-18,28209.029296875,28282.849609375,28119.94921875,28163.2890625,28163.2890625,7300
2014-11-19,28193.900390625,28294.009765625,27963.509765625,28032.849609375,28032.849609375,6800
2014-11-20,28100.83984375,28118.529296875,27915.23046875,28067.560546875,28067.560546875,8700
2014-11-21,28100.099609375,28360.66015625,28038.400390625,28334.630859375,28334.630859375,10100
2014-11-24,28413.009765625,28541.9609375,28394.48046875,28499.5390625,28499.5390625,9700
2014-11-25,28520.759765625,28541.220703125,28217.5,28338.05078125,28338.05078125,10800
2014-11-26,28321.580078125,28470.150390625,28261.310546875,28386.189453125,28386.189453125,8700
2014-11-27,28397.80078125,28498.30078125,28307.580078125,28438.91015625,28438.91015625,11900
2014-11-28,28490.7109375,28822.369140625,28483.990234375,28693.990234375,28693.990234375,14600
2014-12-01,28748.220703125,28809.640625,28538.439453125,28559.619140625,28559.619140625,8300
2014-12-02,28522.4609375,28576.390625,28386.4609375,28444.009765625,28444.009765625,11200
2014-12-03,28472.3203125,28504.650390625,28370.73046875,28442.7109375,28442.7109375,10100
2014-12-04,28616.9296875,28808.779296875,28448.94921875,28562.8203125,28562.8203125,10400
2014-12-05,28604.5,28651.75,28409.05078125,28458.099609375,28458.099609375,7700
2014-12-08,28433.0,28494.849609375,28097.119140625,28119.400390625,28119.400390625,9500
2014-12-09,28134.220703125,28157.529296875,27763.8203125,27797.009765625,27797.009765625,9600
2014-12-10,27711.9609375,27905.25,27710.029296875,27831.099609375,27831.099609375,9900
2014-12-11,27796.33984375,27796.33984375,27539.470703125,27602.009765625,27602.009765625,9800
