Date,Investment,Adj Close,Units Purchased,Cumulative Units Purchased,Total Invested,Acquired Value
2020-02-01,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-02,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-03,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-04,0.0,40789.37890625,0.0,0.0,0.0,0.0
2020-02-05,0.0,41142.66015625,0.0,0.0,0.0,0.0
2020-02-06,0.0,41306.03125,0.0,0.0,0.0,0.0
2020-02-07,0.0,41141.8515625,0.0,0.0,0.0,0.0
2020-02-08,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-09,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-10,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-11,0.0,41216.140625,0.0,0.0,0.0,0.0
2020-02-12,0.0,41565.8984375,0.0,0.0,0.0,0.0
2020-02-13,0.0,41459.7890625,0.0,0.0,0.0,0.0
2020-02-14,30000.0,41257.73828125,0.7271363203550546,0.7271363203550507,30000.0,29999.99999999984
2020-02-15,0.0,41055.69140625,0.0,0.7271363203550507,30000.0,29853.084378773103
2020-02-16,0.0,41055.69140625,0.0,0.7271363203550507,30000.0,29853.084378773103
2020-02-17,0.0,41055.69140625,0.0,0.7271363203550507,30000.0,29853.084378773103
2020-02-18,0.0,40894.37890625,0.0,0.7271363203550507,30000.0,29735.788201095827
2020-02-19,0.0,41323.0,0.0,0.7271363203550507,30000.0,30047.45416603176
2020-02-20,0.0,41170.12109375,0.0,0.7271363203550507,30000.0,29936.290360681232
2020-02-21,0.0,40363.23046875,0.0,0.7271363203550507,30000.0,29349.570880689746
2020-02-22,0.0,40363.23046875,0.0,0.7271363203550507,30000.0,29349.570880689746
2020-02-23,0.0,40363.23046875,0.0,0.7271363203550507,30000.0,29349.570880689746
2020-02-24,0.0,40363.23046875,0.0,0.7271363203550507,30000.0,29349.570880689746
2020-02-25,0.0,40281.19921875,0.0,0.7271363203550507,30000.0,29289.922979410618
2020-02-26,0.0,39888.9609375,0.0,0.7271363203550507,30000.0,29004.712278880103
2020-02-27,0.0,39745.66015625,0.0,0.7271363203550507,30000.0,28900.513076097974
2020-02-28,0.0,38297.2890625,0.0,0.7271363203550507,30000.0,27847.34984847998
2020-02-29,0.0,38144.01953125,0.0,0.7271363203550507,30000.0,27735.90200550431
2020-03-01,0.0,38144.01953125,0.0,0.7271363203550507,30000.0,27735.90200550431
2020-03-02,0.0,38144.01953125,0.0,0.7271363203550507,30000.0,27735.90200550431
2020-03-03,0.0,38623.69921875,0.0,0.7271363203550507,30000.0,28084.694528422122
2020-03-04,0.0,38409.48046875,0.0,0.7271363203550507,30000.0,27928.928294796064
2020-03-05,0.0,38470.609375,0.0,0.7271363203550507,30000.0,27973.377342754018
2020-03-06,0.0,37576.62109375,0.0,0.7271363203550507,30000.0,27323.325993485356
2020-03-07,0.0,35634.94921875,0.0,0.7271363203550507,30000.0,25911.465850960965
2020-03-08,0.0,35634.94921875,0.0,0.7271363203550507,30000.0,25911.465850960965
2020-03-09,0.0,35634.94921875,0.0,0.7271363203550507,30000.0,25911.465850960965
2020-03-10,0.0,35697.3984375,0.0,0.7271363203550507,30000.0,25956.874946091888
2020-03-11,0.0,35697.3984375,0.0,0.7271363203550507,30000.0,25956.874946091888
2020-03-12,0.0,32778.140625,0.0,0.7271363203550507,30000.0,23834.176562142904
2020-03-13,0.0,34103.48046875,0.0,0.7271363203550507,30000.0,24797.879299347216
2020-03-14,0.0,31390.0703125,0.0,0.7271363203550507,30000.0,22824.860222717565
2020-03-15,0.0,31390.0703125,0.0,0.7271363203550507,30000.0,22824.860222717565
2020-03-16,30000.0,31390.0703125,0.9557162408793188,1.6828525612343697,60000.0,52824.86022271757
2020-03-17,0.0,30579.08984375,0.0,1.6828525612343697,60000.0,51460.09966377059
2020-03-18,0.0,28869.509765625,0.0,1.6828525612343697,60000.0,48583.128450662676
2020-03-19,0.0,28288.23046875,0.0,1.6828525612343697,60000.0,47604.92109712407
2020-03-20,0.0,29915.9609375,0.0,1.6828525612343697,60000.0,50344.15148545923
2020-03-21,0.0,25981.240234375,0.0,1.6828525612343697,60000.0,43722.59667246342
2020-03-22,0.0,25981.240234375,0.0,1.6828525612343697,60000.0,43722.59667246342
2020-03-23,0.0,25981.240234375,0.0,1.6828525612343697,60000.0,43722.59667246342
2020-03-24,0.0,26674.029296875,0.0,1.6828525612343697,60000.0,44888.458520686705
2020-03-25,0.0,28535.779296875,0.0,1.6828525612343697,60000.0,48021.50927656479
2020-03-26,0.0,29946.76953125,0.0,1.6828525612343697,60000.0,50395.997806359446
2020-03-27,0.0,29815.58984375,0.0,1.6828525612343697,60000.0,50175.24173326814
2020-03-28,0.0,28440.3203125,0.0,1.6828525612343697,60000.0,47860.865880216494
2020-03-29,0.0,28440.3203125,0.0,1.6828525612343697,60000.0,47860.865880216494
2020-03-30,0.0,28440.3203125,0.0,1.6828525612343697,60000.0,47860.865880216494
2020-03-31,0.0,29468.490234375,0.0,1.6828525612343697,60000.0,49591.12426662798
2020-04-01,0.0,28265.310546875,0.0,1.6828525612343697,60000.0,47566.35024789344
2020-04-02,0.0,27590.94921875,0.0,1.6828525612343697,60000.0,46431.49955966087
2020-04-03,0.0,27590.94921875,0.0,1.6828525612343697,60000.0,46431.49955966087
2020-04-04,0.0,30067.2109375,0.0,1.6828525612343697,60000.0,50598.682935345925
2020-04-05,0.0,30067.2109375,0.0,1.6828525612343697,60000.0,50598.682935345925
2020-04-06,0.0,30067.2109375,0.0,1.6828525612343697,60000.0,50598.682935345925
2020-04-07,0.0,30067.2109375,0.0,1.6828525612343697,60000.0,50598.682935345925
2020-04-08,0.0,29893.9609375,0.0,1.6828525612343697,60000.0,50307.128729112075
2020-04-09,0.0,31159.619140625,0.0,1.6828525612343697,60000.0,52437.04487788827
2020-04-10,0.0,30690.01953125,0.0,1.6828525612343697,60000.0,51646.77797249689
2020-04-11,0.0,30690.01953125,0.0,1.6828525612343697,60000.0,51646.77797249689
2020-04-12,0.0,30690.01953125,0.0,1.6828525612343697,60000.0,51646.77797249689
2020-04-13,0.0,30690.01953125,0.0,1.6828525612343697,60000.0,51646.77797249689
2020-04-14,0.0,30379.810546875,0.0,1.6828525612343697,60000.0,51124.74198862351
2020-04-15,30000.0,30379.810546875,0.987497929050974,2.670350490285344,90000.0,81124.74198862351
2020-04-16,0.0,30602.609375,0.0,2.670350490285344,90000.0,81719.69294854211
2020-04-17,0.0,31588.720703125,0.0,2.670350490285344,90000.0,84352.95581707664
2020-04-18,0.0,31648.0,0.0,2.670350490285344,90000.0,84511.25231655057
2020-04-19,0.0,31648.0,0.0,2.670350490285344,90000.0,84511.25231655057
2020-04-20,0.0,31648.0,0.0,2.670350490285344,90000.0,84511.25231655057
2020-04-21,0.0,30636.7109375,0.0,2.670350490285344,90000.0,81810.75607268348
2020-04-22,0.0,31379.55078125,0.0,2.670350490285344,90000.0,83794.39881364479
2020-04-23,0.0,31863.080078125,0.0,2.670350490285344,90000.0,85085.59150862227
2020-04-24,0.0,31327.220703125,0.0,2.670350490285344,90000.0,83654.65916386702
2020-04-25,0.0,31743.080078125,0.0,2.670350490285344,90000.0,84765.14944978802
2020-04-26,0.0,31743.080078125,0.0,2.670350490285344,90000.0,84765.14944978802
2020-04-27,0.0,31743.080078125,0.0,2.670350490285344,90000.0,84765.14944978802
2020-04-28,0.0,32114.51953125,0.0,2.670350490285344,90000.0,85757.02297555169
2020-04-29,0.0,32720.16015625,0.0,2.670350490285344,90000.0,87374.29571545716
2020-04-30,0.0,33717.62109375,0.0,2.670350490285344,90000.0,90037.86601895076
2020-05-01,0.0,31715.349609375,0.0,2.670350490285344,90000.0,84691.09937896562
2020-05-02,0.0,31715.349609375,0.0,2.670350490285344,90000.0,84691.09937896562
2020-05-03,0.0,31715.349609375,0.0,2.670350490285344,90000.0,84691.09937896562
2020-05-04,0.0,31715.349609375,0.0,2.670350490285344,90000.0,84691.09937896562
2020-05-05,0.0,31453.509765625,0.0,2.670350490285344,90000.0,83991.89522383157
2020-05-06,0.0,31685.75,0.0,2.670350490285344,90000.0,84612.05804755884
2020-05-07,0.0,31443.380859375,0.0,2.670350490285344,90000.0,83964.84749406083
2020-05-08,0.0,31642.69921875,0.0,2.670350490285344,90000.0,84497.09737274073
2020-05-09,0.0,31561.220703125,0.0,2.670350490285344,90000.0,84279.52117859379
2020-05-10,0.0,31561.220703125,0.0,2.670350490285344,90000.0,84279.52117859379
2020-05-11,0.0,31561.220703125,0.0,2.670350490285344,90000.0,84279.52117859379
2020-05-12,0.0,31371.119140625,0.0,2.670350490285344,90000.0,83771.88337796791
2020-05-13,0.0,32008.609375,0.0,2.670350490285344,90000.0,85474.2057378833
2020-05-14,30000.0,31122.890625,0.96392074764103,3.63427123792637,120000.0,113109.02623956578
2020-05-15,0.0,31097.73046875,0.0,3.63427123792637,120000.0,113017.58740736467
2020-05-16,0.0,30028.98046875,0.0,3.63427123792637,120000.0,109133.46002183085
2020-05-17,0.0,30028.98046875,0.0,3.63427123792637,120000.0,109133.46002183085
2020-05-18,0.0,30028.98046875,0.0,3.63427123792637,120000.0,109133.46002183085
2020-05-19,0.0,30196.169921875,0.0,3.63427123792637,120000.0,109741.07184260768
2020-05-20,0.0,30818.609375,0.0,3.63427123792637,120000.0,112003.18564445048
2020-05-21,0.0,30932.900390625,0.0,3.63427123792637,120000.0,112418.55019528982
2020-05-22,0.0,30672.58984375,0.0,3.63427123792637,120000.0,111472.51106185312
