File Name,Total Invested,Acquired Value,Return %
monthly_on_1_investment_schedule_with_units.csv,570000.0,694782.1010266624,21.89159667134428
monthly_on_4_investment_schedule_with_units.csv,570000.0,694597.2730487958,21.859170710315045
monthly_on_3_investment_schedule_with_units.csv,570000.0,694509.6377089712,21.843796089293186
monthly_on_2_investment_schedule_with_units.csv,570000.0,694241.5091192572,21.7967559858346
monthly_on_5_investment_schedule_with_units.csv,570000.0,693345.2223459698,21.639512692275396
monthly_on_11_investment_schedule_with_units.csv,570000.0,692526.9337793249,21.4959532946184
monthly_on_10_investment_schedule_with_units.csv,570000.0,691794.8949449093,21.367525428931447
monthly_on_24_investment_schedule_with_units.csv,570000.0,691772.5720239453,21.363609127007944
monthly_on_12_investment_schedule_with_units.csv,570000.0,691765.5999275493,21.362385952201624
monthly_on_6_investment_schedule_with_units.csv,570000.0,691604.8064789001,21.334176575245635
monthly_on_9_investment_schedule_with_units.csv,570000.0,691580.7463991313,21.329955508619516
monthly_on_8_investment_schedule_with_units.csv,570000.0,691556.9519912144,21.32578105109025
monthly_on_25_investment_schedule_with_units.csv,570000.0,691516.8534455241,21.318746218513006
monthly_on_13_investment_schedule_with_units.csv,570000.0,691443.9377548477,21.305953992078543
monthly_on_21_investment_schedule_with_units.csv,570000.0,691321.1297288624,21.284408724361832
monthly_on_22_investment_schedule_with_units.csv,570000.0,691299.7040148417,21.28064982716521
monthly_on_23_investment_schedule_with_units.csv,570000.0,691139.2780104523,21.252504914114436
monthly_on_7_investment_schedule_with_units.csv,570000.0,691002.0485817041,21.228429575737568
fine_tuned_daily_investment_with_all_dates_with_returns.csv,569999.999999979,690993.9449751297,21.227007890378086
monthly_on_20_investment_schedule_with_units.csv,570000.0,690798.188548385,21.192664657611413
monthly_on_19_investment_schedule_with_units.csv,570000.0,690743.4755354082,21.183065883404954
monthly_on_18_investment_schedule_with_units.csv,570000.0,690540.4455866897,21.147446594156097
monthly_on_26_investment_schedule_with_units.csv,570000.0,690261.565675266,21.09852029390631
monthly_on_14_investment_schedule_with_units.csv,570000.0,689867.8484619728,21.029447098591714
monthly_on_17_investment_schedule_with_units.csv,570000.0,689320.850964805,20.933482625404388
monthly_on_15_investment_schedule_with_units.csv,570000.0,688640.8682636995,20.814187414684117
monthly_on_16_investment_schedule_with_units.csv,570000.0,688308.8460806378,20.75593790888382
monthly_on_27_investment_schedule_with_units.csv,570000.0,687899.8500118934,20.684184212612884
monthly_on_28_investment_schedule_with_units.csv,570000.0,687799.8459670618,20.66663964334418
