File Name,Total Invested,Acquired Value,Return %
monthly_on_11_investment_schedule_with_units.csv,3540000.0,7600192.5124782985,114.69470374232482
monthly_on_12_investment_schedule_with_units.csv,3540000.0,7600113.627764122,114.69247536056841
monthly_on_24_investment_schedule_with_units.csv,3540000.0,7599207.215813664,114.66687050321083
monthly_on_7_investment_schedule_with_units.csv,3540000.0,7598944.331352869,114.65944438849913
monthly_on_6_investment_schedule_with_units.csv,3540000.0,7596022.288395225,114.576900802125
monthly_on_22_investment_schedule_with_units.csv,3540000.0,7595489.943283245,114.56186280461144
monthly_on_23_investment_schedule_with_units.csv,3540000.0,7593587.84748658,114.50813128493164
monthly_on_8_investment_schedule_with_units.csv,3540000.0,7592468.601800423,114.4765141751532
monthly_on_1_investment_schedule_with_units.csv,3540000.0,7592440.381636972,114.47571699539469
monthly_on_14_investment_schedule_with_units.csv,3540000.0,7590378.8218131,114.41748084217797
monthly_on_2_investment_schedule_with_units.csv,3540000.0,7590351.021560917,114.41669552431969
monthly_on_21_investment_schedule_with_units.csv,3540000.0,7590341.93416433,114.41643881820143
monthly_on_3_investment_schedule_with_units.csv,3540000.0,7589718.0274345735,114.39881433430999
monthly_on_10_investment_schedule_with_units.csv,3540000.0,7586903.03665268,114.31929482069717
monthly_on_5_investment_schedule_with_units.csv,3540000.0,7586259.11531217,114.3011049523212
monthly_on_15_investment_schedule_with_units.csv,3540000.0,7586012.375406837,114.29413489849821
monthly_on_25_investment_schedule_with_units.csv,3540000.0,7585559.602961378,114.2813447164231
monthly_on_4_investment_schedule_with_units.csv,3540000.0,7585299.906089456,114.27400864659481
monthly_on_13_investment_schedule_with_units.csv,3540000.0,7585049.859302525,114.26694517803745
monthly_on_19_investment_schedule_with_units.csv,3540000.0,7584562.48053697,114.2531774162986
monthly_on_16_investment_schedule_with_units.csv,3540000.0,7583668.912069729,114.22793536920136
monthly_on_9_investment_schedule_with_units.csv,3540000.0,7583010.651550839,114.20934043928924
fine_tuned_daily_investment_with_all_dates_with_returns.csv,3539999.999999977,7582791.05787751,114.20313722817963
monthly_on_18_investment_schedule_with_units.csv,3540000.0,7579308.634427364,114.10476368438881
monthly_on_26_investment_schedule_with_units.csv,3540000.0,7577619.297979738,114.0570423158118
monthly_on_17_investment_schedule_with_units.csv,3540000.0,7575091.638203922,113.98563949728593
monthly_on_20_investment_schedule_with_units.csv,3540000.0,7574148.170823956,113.95898787638293
monthly_on_27_investment_schedule_with_units.csv,3540000.0,7563549.334904103,113.65958573175432
monthly_on_28_investment_schedule_with_units.csv,3540000.0,7561199.724543092,113.59321255771445
